COUNTRY,COUNTRY_CODE
Afghanistan,93
Albania,355
Algeria,213
American Samoa,1
Andorra,376
Angola,244
Anguilla,1
Antigua and Barbuda,1
Argentina,54
Armenia,374
Aruba,297
Ascension,247
Australia,61
Austria,43
Azerbaijan,994
